supply;supply_human;new_debt;new_debt_human;new_reserves;new_reserves_human;future_rate;future_rate_human;utilisation
100000000000000000000000;100000.0;21000000000000000000000;21000.0;100000000000000000000000;100000.0;6125901365088000;0.006125901365088;0.21
100000000000000000000000;100000.0;22000000000000000000000;22000.0;100000000000000000000000;100000.0;6248416927536000;0.006248416927536;0.22
100000000000000000000000;100000.0;23000000000000000000000;23000.0;100000000000000000000000;100000.0;6379255565712000;0.006379255565712;0.23
100000000000000000000000;100000.0;24000000000000000000000;24000.0;100000000000000000000000;100000.0;6518835194688000;0.006518835194688;0.24
100000000000000000000000;100000.0;25000000000000000000000;25000.0;100000000000000000000000;100000.0;6667607094624000;0.006667607094624;0.25
100000000000000000000000;100000.0;26000000000000000000000;26000.0;100000000000000000000000;100000.0;6826058433648000;0.006826058433648;0.26
100000000000000000000000;100000.0;27000000000000000000000;27000.0;100000000000000000000000;100000.0;6994714633056000;0.006994714633056;0.27
100000000000000000000000;100000.0;28000000000000000000000;28000.0;100000000000000000000000;100000.0;7174142552448000;0.007174142552448;0.28
100000000000000000000000;100000.0;29000000000000000000000;29000.0;100000000000000000000000;100000.0;7364953359504000;0.007364953359504;0.29
100000000000000000000000;100000.0;30000000000000000000000;30000.0;100000000000000000000000;100000.0;7567806188160000;0.00756780618816;0.3
100000000000000000000000;100000.0;31000000000000000000000;31000.0;100000000000000000000000;100000.0;7783411670640000;0.00778341167064;0.31
100000000000000000000000;100000.0;32000000000000000000000;32000.0;100000000000000000000000;100000.0;8012536131744000;0.008012536131744;0.32
100000000000000000000000;100000.0;33000000000000000000000;33000.0;100000000000000000000000;100000.0;8256006035424000;0.008256006035424;0.33
100000000000000000000000;100000.0;34000000000000000000000;34000.0;100000000000000000000000;100000.0;8514712746720000;0.00851471274672;0.34
100000000000000000000000;100000.0;35000000000000000000000;35000.0;100000000000000000000000;100000.0;8789618019024000;0.008789618019024;0.35
100000000000000000000000;100000.0;36000000000000000000000;36000.0;100000000000000000000000;100000.0;9081759607488000;0.009081759607488;0.36
100000000000000000000000;100000.0;37000000000000000000000;37000.0;100000000000000000000000;100000.0;9392257733904000;0.009392257733904;0.37
100000000000000000000000;100000.0;38000000000000000000000;38000.0;100000000000000000000000;100000.0;9722322024624000;0.009722322024624;0.38
100000000000000000000000;100000.0;39000000000000000000000;39000.0;100000000000000000000000;100000.0;10073259016128000;0.010073259016128;0.39
100000000000000000000000;100000.0;40000000000000000000000;40000.0;100000000000000000000000;100000.0;10446480575136000;0.010446480575136;0.4
100000000000000000000000;100000.0;41000000000000000000000;41000.0;100000000000000000000000;100000.0;10843512917904000;0.010843512917904;0.41
100000000000000000000000;100000.0;42000000000000000000000;42000.0;100000000000000000000000;100000.0;11266006607136000;0.011266006607136;0.42
100000000000000000000000;100000.0;43000000000000000000000;43000.0;100000000000000000000000;100000.0;11715747463440000;0.01171574746344;0.43
100000000000000000000000;100000.0;44000000000000000000000;44000.0;100000000000000000000000;100000.0;12194668580544000;0.012194668580544;0.44
100000000000000000000000;100000.0;45000000000000000000000;45000.0;100000000000000000000000;100000.0;12704863444272000;0.012704863444272;0.45
